广西玉林市酒店电信,#genre#
碟战剧场,http://110.72.79.71:808/hls/1024/index.m3u8
相声小品,http://110.72.79.71:808/hls/1025/index.m3u8
IPTV野外,http://110.72.79.71:808/hls/1027/index.m3u8
IPTV法治,http://110.72.79.71:808/hls/1028/index.m3u8
深圳卫视,http://110.72.79.71:808/hls/1033/index.m3u8
IPTV-3,http://110.72.79.71:808/hls/2012/index.m3u8
IPTV-5,http://110.72.79.71:808/hls/2014/index.m3u8
IPTV-6,http://110.72.79.71:808/hls/2015/index.m3u8
IPTV-8,http://110.72.79.71:808/hls/2017/index.m3u8
CCTV-9,http://110.72.79.71:808/hls/119/index.m3u8
凤凰资讯HD,http://110.72.79.71:808/hls/1/index.m3u8
热播剧场,http://110.72.79.71:808/hls/220/index.m3u8
CCTV-5,http://110.72.79.71:808/hls/38/index.m3u8
CCTV-6,http://110.72.79.71:808/hls/39/index.m3u8
CCTV-8,http://110.72.79.71:808/hls/40/index.m3u8
CCTV-1,http://110.72.79.71:808/hls/54/index.m3u8
CCTV-7,http://110.72.79.71:808/hls/98/index.m3u8
CCTV-12,http://110.72.79.71:808/hls/101/index.m3u8
陕西卫视,http://110.72.79.71:808/hls/17/index.m3u8

广西贵港市酒店电信,#genre#
CCTV1-综合,http://171.108.239.8:8181/tsfile/live/0001_1.m3u8
CCTV2-财经,http://171.108.239.8:8181/tsfile/live/0002_1.m3u8
CCTV3-综艺,http://171.108.239.8:8181/tsfile/live/0003_1.m3u8
CCTV4-国际,http://171.108.239.8:8181/tsfile/live/0004_1.m3u8
CCTV5-体育,http://171.108.239.8:8181/tsfile/live/0005_1.m3u8
CCTV6-电影,http://171.108.239.8:8181/tsfile/live/0006_1.m3u8
CCTV7-军农,http://171.108.239.8:8181/tsfile/live/0007_1.m3u8
CCTV8-电视剧,http://171.108.239.8:8181/tsfile/live/0008_1.m3u8
CCTV9-纪录,http://171.108.239.8:8181/tsfile/live/0009_1.m3u8
CCTV10-科教,http://171.108.239.8:8181/tsfile/live/0010_1.m3u8
CCTV11-戏曲,http://171.108.239.8:8181/tsfile/live/0011_1.m3u8
CCTV12-社会与法,http://171.108.239.8:8181/tsfile/live/0012_1.m3u8
CCTV13-新闻,http://171.108.239.8:8181/tsfile/live/0013_1.m3u8
CCTV14-少儿,http://171.108.239.8:8181/tsfile/live/0014_1.m3u8
CCTV15-音乐,http://171.108.239.8:8181/tsfile/live/0015_1.m3u8
CCTV17,http://171.108.239.8:8181/tsfile/live/0019_1.m3u8
CCTV5+体育赛事,http://171.108.239.8:8181/tsfile/live/0016_1.m3u8
广西卫视,http://171.108.239.8:8181/tsfile/live/0113_1.m3u8
广西综艺,http://171.108.239.8:8181/tsfile/live/1005_1.m3u8
三沙卫视,http://171.108.239.8:8181/tsfile/live/1020_1.m3u8
广西都市,http://171.108.239.8:8181/tsfile/live/1006_1.m3u8
广西新闻,http://171.108.239.8:8181/tsfile/live/1007_1.m3u8
足球,http://171.108.239.8:8181/tsfile/live/1008_1.m3u8
广西影视,http://171.108.239.8:8181/tsfile/live/1032_1.m3u8
广西国际,http://171.108.239.8:8181/tsfile/live/1018_1.m3u8
广西移动,http://171.108.239.8:8181/tsfile/live/1019_1.m3u8
中国气象,http://171.108.239.8:8181/tsfile/live/1027_1.m3u8
中国教育,http://171.108.239.8:8181/tsfile/live/1000_1.m3u8
珠江台(1),http://171.108.239.8:8181/tsfile/live/1010_1.m3u8
广东卫视,http://171.108.239.8:8181/tsfile/live/1036_1.m3u8
深圳卫视,http://171.108.239.8:8181/tsfile/live/0126_1.m3u8
南方卫视,http://171.108.239.8:8181/tsfile/live/1028_1.m3u8
湖南卫视,http://171.108.239.8:8181/tsfile/live/1035_1.m3u8
湖北卫视,http://171.108.239.8:8181/tsfile/live/1034_1.m3u8
江苏卫视,http://171.108.239.8:8181/tsfile/live/1037_1.m3u8
北京卫视,http://171.108.239.8:8181/tsfile/live/0122_1.m3u8
天津卫视,http://171.108.239.8:8181/tsfile/live/0135_1.m3u8
重庆卫视,http://171.108.239.8:8181/tsfile/live/0142_1.m3u8
浙江卫视,http://171.108.239.8:8181/tsfile/live/0124_1.m3u8
安徽卫视,http://171.108.239.8:8181/tsfile/live/0130_1.m3u8
江西卫视,http://171.108.239.8:8181/tsfile/live/0138_1.m3u8
贵州卫视,http://171.108.239.8:8181/tsfile/live/0120_1.m3u8
四川卫视,http://171.108.239.8:8181/tsfile/live/0123_1.m3u8
河北卫视,http://171.108.239.8:8181/tsfile/live/1033_1.m3u8
上海卫视,http://171.108.239.8:8181/tsfile/live/0107_1.m3u8
黑龙江卫视,http://171.108.239.8:8181/tsfile/live/0143_1.m3u8
东南卫视,http://171.108.239.8:8181/tsfile/live/0137_1.m3u8
辽宁卫视,http://171.108.239.8:8181/tsfile/live/0121_1.m3u8
金鹰纪实,http://171.108.239.8:8181/tsfile/live/1021_1.m3u8
山东卫视,http://171.108.239.8:8181/tsfile/live/0131_1.m3u8
家庭影院,http://171.108.239.8:8181/tsfile/live/1002_1.m3u8
动作电影,http://171.108.239.8:8181/tsfile/live/1003_1.m3u8
高清电影,http://171.108.239.8:8181/tsfile/live/1004_1.m3u8
甘肃卫视,http://171.108.239.8:8181/tsfile/live/0141_1.m3u8
河南卫视,http://171.108.239.8:8181/tsfile/live/0139_1.m3u8
山西卫视,http://171.108.239.8:8181/tsfile/live/0118_1.m3u8
陕西卫视,http://171.108.239.8:8181/tsfile/live/0136_1.m3u8
西藏卫视,http://171.108.239.8:8181/tsfile/live/0111_1.m3u8
青海卫视,http://171.108.239.8:8181/tsfile/live/0140_1.m3u8
吉林卫视,http://171.108.239.8:8181/tsfile/live/0116_1.m3u8
金鹰卡通,http://171.108.239.8:8181/tsfile/live/1024_1.m3u8
